section,page,page_title,output_path,source_count,sources
01-start,start-here,Старт: что вас ждет и как проходить,01-start/start-here.md,11,pdf/001_Что вас ждет__final.md | pdf/091_Ради чего вы здесь__final.md | media/092_Ради чего вы здесь__final.md | media/046_Важно видеть ситуацию цельно__final.md | pdf/070_Изучать себя__final.md | media/052_Новые понятия и знания помогают изучать себя__final.md | media/050_Знание - наше всё__final.md | media/078_Действовать оптимально__final.md | media/066_Ваше истинное состояние__final.md | pdf/072_Мы разные__final.md | pdf/100_Боль и болезнь - это благо__final.md
02-diagnostics,diagnostics,Самодиагностика и безопасность,02-diagnostics/diagnostics.md,9,pdf/002_Опросник. Определение типа конституции__final.md | pdf/003_Диагностика. Язык__final.md | ocr/004_Диагностика. Язык__final.md | pdf/006_Диагностика. Кишечник__final.md | ocr/007_Диагностика. Кишечник__final.md | media/008_Диагностика. Эксперт__final.md | pdf/005_Диагностика. Красные флаги__final.md | pdf/009_Диагностика. Обезвоживание__final.md | pdf/010_Диагностика. Режим сна и бодрствования__final.md
03-protocol,protocol-core,Протокол: база и монодиета,03-protocol/protocol-core.md,9,pdf/047_Еда - источник энергии__final.md | pdf/019_Питательность диеты__final.md | pdf/013_Полезные рекомендации__final.md | pdf/012_Кухонные гаджеты - помошники в жизни__final.md | pdf/058_Где брать рецепты__final.md | pdf/085_Аскетичное питание__final.md | ocr/016_Преимущества монодиеты__final.md | ocr/017_Когда хорошо уходить в монодиету__final.md | pdf/093_Как долго соблюдать монодиету__final.md
03-protocol,daily-rhythm,"Режим: приемы пищи, вода, кофе",03-protocol/daily-rhythm.md,7,pdf/096_График приема пищи__final.md | pdf/087_Завтрак__final.md | pdf/105_Перекусы__final.md | pdf/079_Питаться дробно и жидко__final.md | media/080_Питаться дробно и жидко__final.md | pdf/107_Вода__final.md | pdf/036_С чем пить кофе__final.md
04-food,food-groups,"Продукты: крупы, овощи, фрукты, бобовые",04-food/food-groups.md,9,pdf/011_Рис. Эксперт__final.md | pdf/106_Пшено__final.md | pdf/099_Пшеница__final.md | media/015_Подготовка круп__final.md | pdf/089_Овощи__final.md | pdf/090_Маш__final.md | pdf/088_Фрукты__final.md | media/020_Фрукты и ягоды__final.md | media/086_Когда есть фрукты__final.md
04-food,fats-drinks-special,"Жиры, напитки и частные случаи",04-food/fats-drinks-special.md,6,pdf/095_Топленое сливочное масло или масло гхи__final.md | pdf/034_Льняное масло__final.md | media/035_Льняное масло__final.md | media/037_Кокосовое молоко__final.md | media/063_Пищевая непереносимость яиц__final.md | media/101_Эфир о продуктах. Эксперт. Эксперт__final.md
05-spices,spices-and-supplements,Специи и добавки (справочник),05-spices/spices-and-supplements.md,15,media/081_Эфир о специях. Светлана Кусова__final.md | pdf/082_Рекомендации магазинов специй__final.md | pdf/021_Кориандр__final.md | media/022_Кориандр__final.md | pdf/023_Кумин__final.md | media/024_Кумин__final.md | pdf/025_Фенхель__final.md | pdf/028_Асафетида__final.md | media/029_Асафетида__final.md | pdf/030_Амла__final.md | media/031_Амла__final.md | pdf/032_Трикату__final.md | media/033_Трикату__final.md | pdf/038_Трифала__final.md | pdf/039_Манджишта__final.md
06-ayurveda,ayurveda-basics,"Аюрведа: качества, доши, типы",06-ayurveda/ayurveda-basics.md,5,pdf/053_Набор качеств или свойств__final.md | pdf/054_Доша__final.md | pdf/069_Дуальные типы__final.md | media/068_Аюрведа для жизни__final.md | media/061_Дисбаланс Вата Доши__final.md
06-ayurveda,seasonality-and-by-type,Сезонность и питание по типам,06-ayurveda/seasonality-and-by-type.md,11,pdf/051_Сезонность__final.md | pdf/055_Лето - Пита__final.md | pdf/056_Зима - Вата__final.md | pdf/057_Весна - Капха__final.md | pdf/077_Межсезонье__final.md | pdf/094_Рацион зимой__final.md | pdf/074_Питание для Вата доша__final.md | pdf/075_Питание для Пита доша__final.md | pdf/076_Питание Капха доша__final.md | pdf/071_Продукты для Вата-Пита_ Пита-Вата__final.md | pdf/073_Отличие рационов Ваты и Питы__final.md
07-support-troubleshooting,support-procedures,Поддержка и процедуры,07-support-troubleshooting/support-procedures.md,4,media/064_Прогревание__final.md | pdf/060_Кофеклизма__final.md | pdf/065_Касторовое масло__final.md | pdf/084_Масло Кширабала Тайла__final.md
